State,Price
Alabama,11.59 cents per kWh
Alaska,20.73 cents per kWh
Arizona,11.31 cents per kWh
Arkansas,9.91 cents per kWh
California,22.33 cents per kWh
Colorado,11.75 cents per kWh
Connecticut,21.08 cents per kWh
Delaware,11.83 cents per kWh
District of Columbia,14.94 cents per kWh
Florida,12.51 cents per kWh
Georgia,12.00 cents per kWh
Hawaii,39.72 cents per kWh
Idaho,8.51 cents per kWh
Illinois,11.94 cents per kWh
Indiana,11.66 cents per kWh
Iowa,9.57 cents per kWh
Kansas,11.47 cents per kWh
Kentucky,10.51 cents per kWh
Louisiana,10.41 cents per kWh
Maine,17.44 cents per kWh
Maryland,13.32 cents per kWh
Massachusetts,21.27 cents per kWh
Michigan,13.20 cents per kWh
Minnesota,12.04 cents per kWh
Mississippi,10.36 cents per kWh
Missouri,10.26 cents per kWh
Montana,9.97 cents per kWh
Nebraska,8.83 cents per kWh
Nevada,10.94 cents per kWh
New Hampshire,21.07 cents per kWh
New Jersey,14.80 cents per kWh
New Mexico,10.02 cents per kWh
New York,18.33 cents per kWh
North Carolina,9.60 cents per kWh
North Dakota,8.42 cents per kWh
Ohio,10.64 cents per kWh
Oklahoma,10.05 cents per kWh
Oregon,9.26 cents per kWh
Pennsylvania,11.86 cents per kWh
Rhode Island,19.30 cents per kWh
South Carolina,10.74 cents per kWh
South Dakota,10.44 cents per kWh
Tennessee,10.89 cents per kWh
Texas,10.16 cents per kWh
Utah,8.80 cents per kWh
Vermont,16.99 cents per kWh
Virginia,10.75 cents per kWh
Washington,9.05 cents per kWh
West Virginia,9.74 cents per kWh
Wisconsin,11.95 cents per kWh
Wyoming,8.24 cents per kWh
